RecID	Fname	Lname	Nbr	Address	City	State	Zip	PO Box	POCity	POState	POZip	SSN	Year	DOB
A912593	B	CALOV	3254	Sw 57th Ct    	MIAMI	FL	33155	Po Box 430n115	MIAMI	FL	33243			
A908280	bradnt	calov	241	WEVER TRAIL     	JESSIEVILE	ARKANSAS	71949							
A918102	ULSYSES	CALRK	12028	BANNER CREST DR    	EL PASO	TEXASE	79936					128581275		
A928640	maria	calros	25100	vista murieta apt 3431 621  	MURRIETA	CA	92562	PO BOX 213	Murrieta	Ca	92564	7270999	1979	5/20/1979
A942639	HCESTER	CALRSON	8919	Grindelia Ct     	hesperia	ca	92344					25358007	1981	11/9/1981
A957760	Loar	Calvert	205lost	Oaks Dr     	waco	tx	76705	Caller 24026	Waco	Texas	76702	120875336		
A912077	ivan	calvert	14830	BLUEMIST PASS     	SAN ANTONIO	TEXAS	78247					120884248		
A905684	i	calvert	14830	Bluemist Pass     	San Antonio	Tx	78247					120884248		
A992190	Jerusha	Calvetti	1044	NORH CITRUS AVNUE    	Covina	Ca	91722	PO BOX 2146	COVINA	CA	91722	23536814		
A906860	monica	calvetti	3950	LORD BYRON CIR    	round rock	texas	78664	aptdoc 6507	round rock	tx	78683	42038210		
A983088	KEAN	CALVILLDO	5419	Sw 128th Ct    	Miami	Fl	33175						2014	4/17/2014
A998253	yolanda	calvillo	706	Wood St     	DUNEDIN	FLORIDA	3498					120265122		
A997143	KEAN	CALVILLO	1209	PORPOISERD      	venice	florida	34293					80351897		
A995114	Kean	Calvillo	209	PORPOISE RD     	Venice		Fl					80351879		
A993245	YOLANDA	CALVILLO	8667	Sw 14th Street    	Pembroke Pines	Fl	33025							
A989509	YOLANDA	CALVILLO	706	Wood Strt     	dunedin		fla.							
A984778	Jose	Calvillo	5906	INDEPENDENCE DR   F  	Milton	Flxorida	32570					112702028	1906	1906//
A982212	KEAN	CALVILLO	549	SW 128TH CT    	miami	fl	33175					80351879	1914	1914//
A979474	Ekan	Calvillo	2238	NW 135TH TER    	opa locka	fl	33054							
A971155	K	Calvillo	4200	Hillcrest Dr Apt 519   	Hollywood	Fl	33021					80351879	1914	4/17/1914
A959096	kean	calvillo	6451	CUSTER STREET     	Hollywood	F	33024					80351789		
A958508	Yolanda	Calvillo	7W06	WOOD ST     	DUNEDIN	FL	34698					120625122	1904	6/16/1904
A958264	J	Calvillo	5906	indepdendence drv     	MILTOFN	FL	32570					112702028		
A955693	YOLANDA	CALVILLO	3122	Magnolia St     	OAKLAND	CALIFORNIA	9468	PTDO 18616	Oakland	Ca	94619	120625122		
A942478	Jose	Calvillo	1850	BLOSSOM AVENU APT 215   	FAIRFIELD	CA	94533							
