RecID|FirstName|MiddleInitial|LastName|SSN|BirthYear|BirthMonth|BirthDay|PhoneNumber
C998812 |Dean|S|Miller|72579834||||6261637758
C998811 |Chad|V|Bowman|107533441|1975|||4081466411
C998810 |Dilila|H|N|104791984||||7135236730
C998809 |Alberto|J|H|||||8177132771
C998808 |Wynnette|T|Navarro|167274290||||3526116673
C998807 |Michael|D|Mcgraw|75414813||||3522757404
C998806 |Vallarie|P|Hunter|||||3524561684
C998805 |William||Archibadl||1956|||7147808350
C998804 |Casey|A|Gackenbach|||||7602143372
C998803 |Tomeka|A|Netherton||1983|||6503462575
C998802 |Maureen|L|W|63631830||||8132508043
C998801 ||M|Portillo|194285030||||6617576265
C998800 |Mark|L|Turpin|49710353||||6613284050
C998799 |Richard|A|Blanco|||||8314760072
C998798 |A|C|Cortinas|11625156||||8311484163
C998797 ||G|Holder|51891726|1910|||7138126482
C998796 |William|I|Davis|26623839|1949|12|31|9161543431
C998795 |Maurice|J|Isaza|100774247|1965|||6618828072
C998794 |Ronalee|A|Nelson|166884070|1915|10|28|5016006873
C998793 |Frances||Wilson|11424527||||2818413044
C998792 |Kristie|D|Jobe|136162258||||6198601605
C998791 |Donna|A|Rays|100583133||||9412207235
C998790 |Todd||Melegrito|182802472||||8187640337
C998789 |Ramyond|L|Peasron|185640007||||5126004707
C998788 |Bessy|A|Kujan||1952|10|16|9726810766
C998787 |Yanira|C|Delosreyes|92866797||||9412636266
C998786 |Kika|A|Huey|152652665||||3057265853
C998785 |Hector|D|Ramos|150917248|1928|10|1|9495406838
C998784 |Judith||Sifuentes|||||7134700776
C998783 |Marcia|F|Rodriguez||1965|||8183354814
C998782 |Scott|W|Schilling|51059347||||4087070232
C998781 |Mark|L|Fernandes|187604173||||6507206517
C998780 |Hal||Dtorres|23666872||||2392663518
C998779 |John||D|142498596||||2541043266
C998778 |Colleen||Lavito|97225857|1934|8|12|9545662131
C998777 |Connie||Morhar|88492395||||4798721038
C998776 |Alejandra|A|Micco|||||2394863846
C998775 |Michale|M|Yl|31375014|1984|||8315236316
C998774 |Nina|M|A|||||7134327548
C998773 |Ariel|E|Villegas|178891320|1913|1|23|3051563772
C998772 |Holly|E|Gordon|58057655||||3051726870
C998771 ||R|M|183101940|1967|||7077031653
C998770 |Micheal|D|Ricker|186923797||||9095303040
C998769 |Arnold||Machuca|150874203|1951|||9546425161
C998768 |Jami|J|Cozatr|51430633||||6615215573
C998767 |Claire|R|Juman|||||8186281302
C998766 |Zsuzsanna|A|Stellwagen||1900|6|11|4077053587
C998765 |Dennis|F|Gannon|79835369||||3611405502
C998764 |Deborah|B|Ortiz|19604546||||5307246624
C998763 |Sandra|C|Perez-molina|||||9415816711
C998762 |Cnythia|A|Jones|6859966||||8187367683
C998761 |Wilhelmina|M|Martinez|78325515|1928|8|18|5303033202
C998760 |Lori|W|Hough|104168833|1911|3|11|9792020568
C998759 |Brandon|M|Pierce|77141841||||6506037255
C998758 |Kimberly|G|Petralia||1913|||9491048418
C998757 |David||Juarez|193033478||||3863145307
C998756 |Lorri|E|Ponce|50238667||||5624725288
C998755 |Luis|S|Solis|706544364|1906|1|30|4084407176
C998754 |Beatrice||Encizo-loaiza|||||9546022223
C998753 |Alejandro||Musa|14095143||||4151431623
C998752 |Erma||Alarcon|53950208||||3525483503
C998751 |John||Schlobach|188473981||||8178264160
C998750 |Joy||King|407130414||||9162853230
C998749 |Maureen|R|Middlebrook|||||8311701761
C998748 |Bobby|B|Fall|26841318|1964|||4248241640
C998747 |G||Carjranza|130738206||||9257235755
C998746 |K|K|Simms|121928724|1925|||9722174712
C998745 |Amin|L|Loring|74267928|1931|7|24|9414123370
C998744 |G|J|Abltazar|1978531|1983|||4241835561
C998743 ||A|Crumpton||1954|||7132556103
C998742 |C|D|Wardle|||||9494404728
C998741 |Mitchell|R|Daughters|130991994|1926|||8586422348
C998740 |Lydia||Careccia|46254835|1955|2|10|9562487416
C998739 |Jeneva|R|Schoenberg|44336707||||9166244226
C998738 |Jorge||Camahco|109657697||||9096525330
C998737 |Haihong|L|Shore||1984|6|9|9096664108
C998736 |J||Bulaon|179147881|1920|||3216046125
C998735 ||D|Crowder|154734863||||8187166623
C998734 |Michael|C|Martinez||1912|1|31|6191470467
C998733 |Andres|J|Ibler|144138511||||6611002553
C998732 |Liliana|S|Bell|56186164|1966|30||3527543687
C998731 |Millard|F|Wydysh|164563339|1929|||5618558052
C998730 |Shaneece|J|Wright|166388042|1944|||3524487641
C998729 |S|J|Collins|||||9257611770
C998728 |Myriam|R|Etchieson|169883097||||6197386732
C998727 |Gerardo||S|133687873|1904|||2104667736
C998726 |Davdi|G|Erie|173578697|1915|||2811153607
C998725 |Roberto|E|Blevins||1970|5|17|8631254618
C998724 |Jackie|E|Aleman|106386169||||7142282103
C998723 |Melissa||Fischer|128347522|1922|||4795444768
C998722 |Rodolfo|M|Laka|916239819|1933|5|27|3216142250
C998721 |Julia|C|Brant|||||3863387370
C998720 ||H|Crosby|188265200||||4241627181
C998719 |Shari|H|Moody|||||3058358457
C998718 |Derek||Rodirguez|40268262||||9041536674
C998717 |William||Villarreal|25317183|1903|||8634370456
C998716 |Demerias|D|Speitel|146302059|1916|90||5597337788
C998715 |Ronda|S|Rutherford|12140601||||4076117371
C998714 |J||Torres|54826321|1983|||8174660431
C998713 |Francisco|D|Isco|167749858||||9414802802
C998712 |Eric||Pineda|77568165||||6504600726
C998711 |Duby|J|Jones|||||3611510587
C998710 |Irma|D|Proctor|130004289||||8702820081
C998709 |Dennis|W|Mckee|98532816|1932|2|13|9098076738
C998708 |Richard|D|Talletn|19411062|1930|||2143672747
C998707 |Gertha|J|Urzola|||||9562144224
C998706 |Sean||Navarro|198213606|1944|63||9094847783
C998705 |Marleen||Jacques|||||7131106303
C998704 |Mark||Kashirets|176901929||||9568847854
C998703 |Todd||Hazzard|97831850||||8184042687
C998702 |Roberto|W|Davis|174074341|1945|4|17|5011230403
C998701 |P|G|Kratt|81252730|1982|61||3215626635
C998700 |Elena||Loschin||1928|8|26|7134348270
C998699 |M|J|Smith|126624314||||2093062127
C998698 ||E|Padgett|108824484||||8503017323
C998697 ||G|Walton||1916|90||8183148751
C998696 |Christopher|K|Dalton|||||4087107741
C998695 |Teri|C|Valerio|13893122|1990|||4158356688
C998694 |Melissa|H|Linton|160347252||||7274163113
C998693 |Edinson|B|Benjamin|||||9545658423
C998692 |Fernando||Alvarze|||||9163121341
C998691 |Celia|A|Fale|166712930||||5308217242
C998690 |Patricia|J|Marvin|126710953||||4071877743
C998689 |Henrietta|C|Santilli|||||2811664833
C998688 ||J|Gogan||1973|||8706333842
C998687 |Sammy|L|Brandon|||||3525471330
C998686 |John||Raines|||||6198470563
C998685 |Jeremy|K|Tulumello|64019556|1953|7|1|2546348513
C998684 |Johnny|R|Guiles|113892726||||9092305623
C998683 |Calvin|I|Castel||1941|7|14|3052342085
C998682 |||Stienbaugh|9325883|1934|2|24|9723620670
C998681 |Stewart|J|Ortiz|||||4155057158
C998680 |Claudia|L|Ross|18908645|1901|||9092002466
C998679 |Becky|L|Dotson|192415349|1918|7|19|2142142280
C998678 |Patsy|G|Kratt|81252370|1982|||3215626635
C998677 |Clave|L|Green|158502185|1973|||2394516524
C998676 |F|J|Garrison|63631883|1903|||2096042372
C998675 |Refugio|D|Guila||1938|||6265166306
C998674 |Zoia|A|Primus-berry|104016181|1920|3|3|9093306268
C998673 |Snadra|C|Manchik-edward|168561797|1964|1|16|2542012540
C998672 |Jasper|W|Badenoch|34668023||||8136832662
C998671 |Neil|W|Knidle|182587201||||8134437301
C998670 ||A|Klock|51574960|1980|7|22|4151585146
C998669 ||B|Neris|||||5016421238
C998668 |Hcarles||Diaz|20983329|1935|4|12|9368448356
C998667 |Pirere|D|S|169847203|1900|1|1|9725675421
C998666 |Kathy||Alexander|145985151||||8508818750
C998665 |Lorne|W|Ford||1981|||2546384306
C998664 |Atmi||Castro|518071989|1912|||5591701350
C998663 |John|T|Camomot|159861076|1937|5|3|5303553322
C998662 |Kevin|B|Flowers|157529756||||9726740016
C998661 |Jnanie|A|Sivil|113822570||||9095725837
C998660 |||Dnaks|190710758||||6193406110
C998659 |Manuel|E|Jesus|||||6194256767
C998658 |Marguerite|L|Harrsi|109407179||||3211868601
C998657 |M||Trejos|207444891|1975|4|18|9091702815
C998656 |D|M|P|4761542||||8181185824
C998655 |Dora|F|Federico|144724786||||3107168353
C998654 |Hector|O|Grnat|34995866|1919|||2095574882
C998653 |Diana|T|Borwn|96521116||||8315587704
C998652 |Angeol|M|Slomka|9704996||||2814027708
C998651 |Roberto|E|Smithson|62385757|1904|1|3|9045216640
C998650 |Christine|C|Collins|||||7601385026
C998649 |K|D|Adams||1951|||2818023777
C998648 |Bette||Renova|49084148||||9562854211
C998647 |Sandy|A|Muneton|183387566||||9252434458
C998646 |Glen|M|Letser|5442640|1925|||8175741236
C998645 |Hye|F|Childers|49672390|1974|||4084212704
C998644 |I||Doye|||||7601855601
C998643 |Mary||Lee|30601681||||9095015518
C998642 |Dennis||Ruano|24706726|1937|||3861032268
C998641 |||Hernandez|121167029|1972|||9036030351
C998640 |Geoffrey|G|Harvey|||||5123053115
C998639 |Rowel||Castaneda|188165163||||3867406126
C998638 |Hilda|G|Silva|||||9415050808
C998637 |Gerald|R|Cashin|||||9041776236
C998636 |Denise|F|Moreno-sanchez|||||6191403768
C998635 |Susan||Boudet|121552684|1912|22||9728082084
